drug_code,drug_name,atc,drug_form,composition,excipients
21397031,TRANSENE*30CPS 10MG,N05BA05,CAPSULE RIGIDE,clorazepato dipotassico,Potassio carbonato#talco (e553b)#eritrosina (e 127)#biossido di titanio (e171)#gelatina
41598071,OLANZAPINA ACC*56CPR RIV5MG,N05AH03,COMPRESSE RIVESTITE,olanzapina,Lattosio monoidrato#cellulosa microcristallina (e460)#crospovidone (e1202)#idrossipropilcellulosa (e463)#magnesio stearato (e470b)#metilidrossipropilcellulosa#macrogol#biossido di titanio (e171)#polisorbato 80 (e433)
28592020,NICERGOLINA SANDOZ*30CPR 30MG,C04AE02,COMPRESSE,Nicergolina,calcio fosfato dibasico (e341)#carmellosa sodica#celluiosa microgranulare#magnesio stearato (e470b)#metilidrossipropilcellulosa#silicone#biossido di titanio (e171)#macrogol 6000#ferro ossido giallo (e172)
37593389,SIMVASTATINA ZEN*300CPR40MG FL,C10AA01,COMPRESSE RIVESTITE DIVISIBILI,simvastatina,Lattosio anidro#cellulosa microcristallina (e460)#amido di mais#butilidrossianisolo#magnesio stearato (e470b)#talco (e553b)#idrossipropilcellulosa (e463)#metilidrossipropilcellulosa#biossido di titanio (e171)
38592010,CLOBETASOLO P.FABRE*UNG 10G,D07AD01,UNGUENTO,clobetasolo propionato,propilenglicole (e1520)#sorbitan sesquioleato#vaselina
45199460,SOLIFENACINA TEV*100CPR10MG FL,G04BD08,COMPRESSE RIVESTITE,Solifenacina succinato,cellulosa microcristallina (e460)#povidone#crospovidone (e1202)#Lattosio#silice anidra colloidale#magnesio stearato (e470b)#polivinilalcool#biossido di titanio (e171)#macrogol 3350#Talco (E553b)#Carminio (E120)#ferro ossido (e172)#ferro ossido giallo (e172)
28580037,SPASMODIL*IM EV 6F 10MG 1ML,A03AA,SOLUZIONE INIETTABILE,Pipetanato etobromuro,Macrogol 300#alcol benzilico (e1519)#acqua per preparazioni iniettabili
44663019,NUROFEN INFLUENZA RAFFR*12CPR,M01AE51,COMPRESSE RIVESTITE,Ibuprofene#Pseudoefedrina cloridrato,Fosfato tricalcico#carmellosa sodica#cellulosa microcristallina (e460)#povidone#metilidrossipropilcellulosa#magnesio stearato (e470b)#talco (e553b)#giallo chinolina (e 104)#e 110#biossido di titanio (e171)
45512288,OLMESARTAN AM TEV*30CPR 40+5MG,C09DB02,COMPRESSE RIVESTITE,Olmesartan medoxomil#Amlodipina,cellulosa microcristallina (e460)#Lattosio monoidrato#crospovidone (e1202)#povidone#Sodio amido glicolato (patata)#Silice colloidale idrata#magnesio stearato (e470b)#polivinilalcool#macrogol#Talco (E553b)#ferro ossido giallo (e172)
41341064,CANDESARTAN DOC*70CPR 4MG,C09CA06,COMPRESSE,candesartan cilexetil,Lattosio monoidrato#amido di mais#idrossipropilcellulosa (e463)#sodio croscarmelloso#magnesio stearato (e470b)#trietilcitrato
